question_index,question_type,activation_mode,question_text,result,rt_sec,n_toggles,n_resets,n_backspaces,extra_metrics
1,yesno,dwell,"Are you wearing Glasses right now? 
(yes/no)",'no',11.189157207998505,1,0,0,yesno;mode=dwell;dwell_ms=1200;blink_ms=150
2,likert,dwell,"How comfortable do you feel with Eye-Tracking? 
(Likert-Scale)",'comfortable',8.693993000000773,1,0,0,"likert;mode=dwell;dwell_ms=1200;blink_ms=150;labels=['not at all comfortable', 'rather not comfortable', 'neutral', 'comfortable', 'very comfortable']"
3,mcq,dwell,"Which of the following drinks do you like the most? 
(Multiple Choice)","['Coffee', 'Tea', 'Water']",28.810834333002276,3,0,0,mcq;mode=dwell;dwell_ms=1200;blink_ms=150
